gene-LOC111982896	XP_023901772.1
gene-LOC112028912	
gene-LOC112028945	
gene-LOC112028913	XP_023917372.1
gene-LOC112028929	XP_023917389.1
gene-LOC112028929	XP_023917390.1
gene-LOC112028914	XP_023917373.1
gene-LOC112028915	XP_023917374.1
gene-LOC112028944	
gene-LOC112028931	XP_023917393.1
gene-LOC112028927	XP_023917388.1
gene-LOC112028927	XP_023917387.1
gene-LOC112028916	
gene-LOC112028900	
gene-LOC112028926	XP_023917386.1
gene-LOC112028917	XP_023917375.1
gene-LOC112028918	XP_023917377.1
gene-LOC112028919	XP_023917378.1
gene-LOC112028898	XP_023917361.1
gene-LOC112028920	XP_023917379.1
gene-LOC112028921	XP_023917381.1
gene-LOC112028922	XP_023917382.1
gene-LOC112028923	XP_023917383.1
gene-LOC112028924	XP_023917384.1
gene-LOC112028925	XP_023917385.1
gene-LOC112028958	XP_023917417.1
gene-LOC112028955	XP_023917415.1
gene-LOC112028957	XP_023917416.1
gene-LOC112028953	XP_023917412.1
gene-LOC112028953	XP_023917413.1
gene-LOC112028953	XP_023917411.1
gene-LOC112028948	XP_023917406.1
gene-LOC112028946	
gene-LOC112028959	
gene-LOC112028947	XP_023917405.1
gene-LOC112028954	XP_023917414.1
gene-LOC112028949	XP_023917407.1
gene-LOC112028960	XP_023917419.1
gene-LOC112028950	XP_023917408.1
gene-LOC112028951	XP_023917409.1
gene-LOC112028952	XP_023917410.1
gene-LOC112028963	XP_023917423.1
gene-LOC112028974	XP_023917431.1
gene-LOC112028978	XP_023917436.1
gene-LOC112028966	
gene-LOC112028979	XP_023917437.1
gene-LOC112028964	
gene-LOC112028967	XP_023917424.1
gene-LOC112028962	XP_023917422.1
gene-LOC112028976	XP_023917434.1
gene-LOC112028973	XP_023917429.1
gene-LOC112028973	XP_023917428.1
gene-LOC112028973	XP_023917430.1
gene-LOC112028968	XP_023917425.1
gene-LOC112028961	XP_023917420.1
gene-LOC112028961	XP_023917421.1
gene-LOC112028975	XP_023917433.1
gene-LOC112028977	XP_023917435.1
gene-LOC112028969	
gene-LOC112028970	XP_023917426.1
gene-LOC112028971	XP_023917427.1
gene-LOC112028989	
gene-LOC112028991	XP_023917447.1
gene-LOC112028992	XP_023917448.1
gene-LOC112028993	XP_023917449.1
gene-LOC112029022	XP_023917478.1
gene-LOC112029022	XP_023917477.1
gene-LOC112029022	XP_023917474.1
gene-LOC112029022	XP_023917475.1
gene-LOC112029022	XP_023917476.1
gene-LOC112028994	XP_023917450.1
gene-LOC112029018	
gene-LOC112028995	XP_023917451.1
gene-LOC112028996	XP_023917452.1
gene-LOC112029016	XP_023917469.1
gene-LOC112028997	
gene-LOC112028999	XP_023917453.1
gene-LOC112029000	
gene-LOC112028980	
gene-LOC112029001	XP_023917455.1
gene-LOC112029002	
gene-LOC112029020	XP_023917471.1
gene-LOC112028982	
gene-LOC112029003	XP_023917456.1
gene-LOC112029021	XP_023917473.1
gene-LOC112029004	XP_023917457.1
gene-LOC112029005	XP_023917458.1
gene-LOC112029006	XP_023917459.1
gene-LOC112029007	XP_023917460.1
gene-LOC112029008	XP_023917461.1
gene-LOC112028985	XP_023917441.1
gene-LOC112028985	XP_023917440.1
gene-LOC112028983	XP_023917439.1
gene-LOC112029014	XP_023917466.1
gene-LOC112028986	XP_023917442.1
gene-LOC112028986	XP_023917443.1
gene-LOC112028986	XP_023917444.1
gene-LOC112028984	
gene-LOC112029019	XP_023917470.1
gene-LOC112029015	XP_023917467.1
gene-LOC112029009	XP_023917462.1
gene-LOC112028981	XP_023917438.1
gene-LOC112029010	
gene-LOC112028988	XP_023917445.1
gene-LOC112029011	XP_023917463.1
gene-LOC112029012	XP_023917464.1
gene-LOC112029013	XP_023917465.1
gene-LOC112029266	XP_023917723.1
gene-LOC112029203	XP_023917661.1
gene-LOC112029024	XP_023917480.1
gene-LOC112029025	XP_023917482.1
gene-LOC112029026	XP_023917483.1
gene-LOC112029027	XP_023917484.1
gene-TRNAT-AGU-9	
gene-LOC112029028	XP_023917485.1
gene-LOC112029029	XP_023917486.1
gene-LOC112029030	XP_023917487.1
gene-LOC112029031	XP_023917489.1
gene-LOC112029191	XP_023917648.1
gene-LOC112029032	XP_023917490.1
gene-LOC112029033	XP_023917491.1
gene-LOC112029034	XP_023917492.1
gene-LOC112029035	XP_023917493.1
gene-LOC112029036	XP_023917494.1
gene-LOC112029037	XP_023917495.1
gene-LOC112029038	XP_023917497.1
gene-LOC112029039	XP_023917498.1
gene-LOC112029040	XP_023917499.1
gene-LOC112029041	XP_023917500.1
gene-LOC112029042	XP_023917501.1
gene-LOC112029043	XP_023917502.1
gene-LOC112029045	XP_023917505.1
gene-LOC112029046	XP_023917506.1
gene-LOC112029047	XP_023917507.1
gene-LOC112029049	XP_023917508.1
gene-LOC112029050	XP_023917509.1
gene-LOC112029051	XP_023917510.1
gene-LOC112029052	XP_023917511.1
gene-LOC112029054	XP_023917512.1
gene-LOC112029055	XP_023917513.1
gene-LOC112029056	XP_023917514.1
gene-LOC112029044	XP_023917503.1
gene-LOC112029057	XP_023917516.1
gene-LOC112029058	XP_023917517.1
gene-LOC112029059	XP_023917518.1
gene-LOC112029060	XP_023917519.1
gene-LOC112029061	XP_023917520.1
gene-LOC112029062	XP_023917521.1
gene-LOC112029063	XP_023917522.1
gene-LOC112029065	XP_023917523.1
gene-LOC112029066	XP_023917524.1
gene-LOC112029023	XP_023917479.1
gene-LOC112029067	XP_023917525.1
gene-LOC112029068	XP_023917527.1
gene-LOC112029069	XP_023917528.1
gene-LOC112029070	XP_023917529.1
gene-LOC112029071	XP_023917530.1
gene-LOC112029072	XP_023917531.1
gene-LOC112029073	XP_023917532.1
gene-LOC112029074	XP_023917533.1
gene-LOC112029258	XP_023917716.1
gene-LOC112029076	XP_023917534.1
gene-LOC112029077	XP_023917535.1
gene-LOC112029078	XP_023917536.1
gene-LOC112029079	XP_023917538.1
gene-LOC112029080	XP_023917539.1
gene-LOC112029081	XP_023917540.1
gene-LOC112029082	XP_023917541.1
gene-LOC112029083	XP_023917542.1
gene-LOC112029084	XP_023917543.1
gene-LOC112029085	XP_023917544.1
gene-LOC112029088	XP_023917545.1
gene-LOC112029089	XP_023917546.1
gene-LOC112029090	XP_023917547.1
gene-LOC112029196	XP_023917654.1
gene-LOC112029091	XP_023917549.1
gene-LOC112029092	XP_023917550.1
gene-LOC112029204	XP_023917662.1
gene-LOC112029093	XP_023917551.1
gene-LOC112029094	XP_023917552.1
gene-LOC112029095	XP_023917553.1
gene-LOC112029096	XP_023917554.1
gene-LOC112029097	XP_023917555.1
gene-LOC112029099	XP_023917556.1
gene-LOC112029100	XP_023917557.1
gene-LOC112029101	XP_023917558.1
gene-LOC112029102	XP_023917560.1
gene-LOC112029103	XP_023917561.1
gene-LOC112029208	XP_023917665.1
gene-LOC112029104	XP_023917562.1
gene-LOC112029105	XP_023917563.1
gene-LOC112029106	XP_023917564.1
gene-LOC112029107	XP_023917565.1
gene-LOC112029209	XP_023917667.1
gene-LOC112029108	XP_023917566.1
gene-LOC112029109	XP_023917567.1
gene-LOC112029110	XP_023917568.1
gene-LOC112029111	XP_023917569.1
gene-LOC112029112	XP_023917570.1
gene-LOC112029113	XP_023917571.1
gene-LOC112029114	XP_023917572.1
gene-LOC112029115	XP_023917573.1
gene-LOC112029116	XP_023917574.1
gene-LOC112029117	XP_023917575.1
gene-LOC112029118	XP_023917576.1
gene-LOC112029119	XP_023917577.1
gene-LOC112029201	XP_023917659.1
gene-LOC112029195	XP_023917653.1
gene-LOC112029120	XP_023917578.1
gene-LOC112029121	XP_023917579.1
gene-LOC112029122	XP_023917581.1
gene-LOC112029123	XP_023917582.1
gene-LOC112029124	XP_023917583.1
gene-LOC112029268	XP_023917725.1
gene-LOC112029206	XP_023917663.1
gene-LOC112029125	XP_023917584.1
gene-LOC112029126	XP_023917585.1
gene-LOC112029198	XP_023917656.1
gene-LOC112029127	XP_023917586.1
gene-LOC112029207	XP_023917664.1
gene-LOC112029128	XP_023917587.1
gene-LOC112029263	XP_023917721.1
gene-LOC112029260	XP_023917718.1
gene-LOC112029130	XP_023917588.1
gene-LOC112029131	XP_023917589.1
gene-LOC112029132	XP_023917590.1
gene-LOC112029133	XP_023917592.1
gene-LOC112029134	XP_023917593.1
gene-LOC112029135	XP_023917594.1
gene-LOC112029136	XP_023917595.1
gene-LOC112029137	XP_023917596.1
gene-LOC112029138	XP_023917597.1
gene-LOC112029139	XP_023917598.1
gene-LOC112029141	XP_023917599.1
gene-LOC112029142	XP_023917600.1
gene-LOC112029192	XP_023917649.1
gene-LOC112029143	XP_023917601.1
gene-LOC112029262	XP_023917720.1
gene-LOC112029144	XP_023917602.1
gene-LOC112029145	XP_023917603.1
gene-LOC112029146	XP_023917604.1
gene-LOC112029147	XP_023917605.1
gene-LOC112029148	XP_023917606.1
gene-LOC112029149	XP_023917607.1
gene-LOC112029150	XP_023917608.1
gene-LOC112029200	XP_023917658.1
gene-LOC112029152	XP_023917609.1
gene-LOC112029193	XP_023917650.1
gene-LOC112029153	XP_023917610.1
gene-LOC112029154	XP_023917611.1
gene-LOC112029269	XP_023917726.1
gene-LOC112029155	XP_023917612.1
gene-LOC112029156	XP_023917613.1
gene-LOC112029194	XP_023917652.1
gene-LOC112029157	XP_023917614.1
gene-LOC112029158	XP_023917615.1
gene-LOC112029159	XP_023917616.1
gene-LOC112029160	XP_023917617.1
gene-LOC112029161	XP_023917618.1
gene-TRNAT-AGU-10	
gene-LOC112029163	XP_023917619.1
gene-LOC112029164	XP_023917620.1
gene-LOC112029165	XP_023917621.1
gene-LOC112029166	XP_023917623.1
gene-LOC112029259	XP_023917717.1
gene-LOC112029167	XP_023917624.1
gene-LOC112029168	XP_023917625.1
gene-LOC112029169	XP_023917626.1
gene-LOC112029170	XP_023917627.1
gene-LOC112029187	XP_023917643.1
gene-LOC112029171	XP_023917628.1
gene-LOC112029172	XP_023917629.1
gene-LOC112029174	XP_023917630.1
gene-LOC112029175	XP_023917631.1
gene-LOC112029176	XP_023917632.1
gene-LOC112029177	XP_023917634.1
gene-LOC112029178	XP_023917635.1
gene-LOC112029179	XP_023917636.1
gene-LOC112029180	XP_023917637.1
gene-LOC112029181	XP_023917638.1
gene-LOC112029190	XP_023917647.1
gene-LOC112029182	XP_023917639.1
gene-LOC112029183	XP_023917640.1
gene-LOC112029264	XP_023917722.1
gene-LOC112029185	XP_023917641.1
gene-LOC112029186	XP_023917642.1
gene-LOC112029212	XP_023917670.1
gene-LOC112029213	XP_023917671.1
gene-LOC112029267	XP_023917724.1
gene-LOC112029214	XP_023917672.1
gene-LOC112029215	XP_023917673.1
gene-LOC112029216	XP_023917674.1
gene-LOC112029261	XP_023917719.1
gene-LOC112029217	XP_023917675.1
gene-LOC112029218	XP_023917676.1
gene-LOC112029219	XP_023917677.1
gene-LOC112029220	XP_023917678.1
gene-LOC112029221	XP_023917679.1
gene-LOC112029222	XP_023917680.1
gene-LOC112029223	XP_023917681.1
gene-LOC112029189	XP_023917646.1
gene-LOC112029188	XP_023917645.1
gene-LOC112029224	XP_023917682.1
gene-LOC112029225	XP_023917683.1
gene-LOC112029227	XP_023917684.1
gene-LOC112029199	XP_023917657.1
gene-LOC112029228	XP_023917685.1
gene-LOC112029271	XP_023917728.1
gene-LOC112029229	XP_023917686.1
gene-LOC112029197	XP_023917655.1
gene-LOC112029230	XP_023917688.1
gene-LOC112029231	XP_023917689.1
gene-LOC112029232	XP_023917690.1
gene-LOC112029272	XP_023917729.1
gene-LOC112029233	XP_023917691.1
gene-LOC112029270	XP_023917727.1
gene-LOC112029202	XP_023917660.1
gene-LOC112029234	XP_023917692.1
gene-LOC112029235	XP_023917693.1
gene-LOC112029236	XP_023917694.1
gene-LOC112029238	XP_023917695.1
gene-LOC112029210	XP_023917668.1
gene-LOC112029239	XP_023917696.1
gene-LOC112029240	XP_023917697.1
gene-LOC112029241	XP_023917699.1
gene-LOC112029242	XP_023917700.1
gene-LOC112029243	XP_023917701.1
gene-LOC112029244	XP_023917702.1
gene-LOC112029245	XP_023917703.1
gene-LOC112029246	XP_023917704.1
gene-LOC112029247	XP_023917705.1
gene-LOC112029249	XP_023917706.1
gene-LOC112029250	XP_023917707.1
gene-LOC112029251	XP_023917708.1
gene-LOC112029252	XP_023917710.1
gene-LOC112029253	XP_023917711.1
gene-LOC112029254	XP_023917712.1
gene-LOC112029255	XP_023917713.1
gene-LOC112029211	XP_023917669.1
gene-LOC112029256	XP_023917714.1
gene-LOC112029257	XP_023917715.1
gene-LOC112029284	XP_023917738.1
gene-LOC112029292	
gene-LOC112029313	XP_023917768.1
gene-LOC112029322	XP_023917779.1
gene-LOC112029316	XP_023917771.1
gene-LOC112029316	XP_023917770.1
gene-LOC112029293	
gene-LOC112029314	XP_023917769.1
gene-LOC112029291	XP_023917749.1
gene-LOC112029294	XP_023917750.1
gene-LOC112029290	XP_023917747.1
gene-LOC112029290	XP_023917748.1
gene-LOC112029295	XP_023917751.1
gene-LOC112029278	XP_023917733.1
gene-LOC112029279	XP_023917734.1
gene-LOC112029329	XP_023917784.1
gene-LOC112029297	XP_023917753.1
gene-LOC112029298	XP_023917754.1
gene-LOC112029277	
gene-LOC112029282	
gene-LOC112029317	XP_023917772.1
gene-LOC112029317	XP_023917773.1
gene-LOC112029299	
gene-LOC112029287	XP_023917745.1
gene-LOC112029300	XP_023917756.1
gene-LOC112029301	XP_023917757.1
gene-LOC112029302	XP_023917758.1
gene-LOC112029303	XP_023917759.1
gene-LOC112029304	XP_023917760.1
gene-LOC112029331	XP_023917790.1
gene-LOC112029331	XP_023917789.1
gene-LOC112029327	
gene-LOC112029306	XP_023917761.1
gene-LOC112029323	XP_023917780.1
gene-LOC112029324	XP_023917781.1
gene-LOC112029285	XP_023917740.1
gene-LOC112029285	XP_023917739.1
gene-LOC112029285	XP_023917741.1
gene-LOC112029285	XP_023917742.1
gene-LOC112029307	XP_023917763.1
gene-LOC112029308	XP_023917764.1
gene-LOC112029321	XP_023917778.1
gene-LOC112029281	XP_023917735.1
gene-LOC112029310	XP_023917766.1
gene-LOC112029318	XP_023917775.1
gene-LOC112029283	XP_023917736.1
gene-LOC112029311	
gene-LOC112029312	XP_023917767.1
gene-LOC112029319	XP_023917776.1
gene-LOC112029330	XP_023917788.1
gene-LOC112029330	XP_023917787.1
gene-LOC112029330	XP_023917786.1
gene-LOC112029330	XP_023917785.1
gene-LOC112029320	XP_023917777.1
gene-LOC112029286	XP_023917744.1
gene-LOC112029286	XP_023917743.1
gene-LOC112029275	XP_023917730.1
gene-LOC112029326	
gene-LOC112029328	XP_023917782.1
gene-LOC112029288	XP_023917746.1
gene-LOC112029276	XP_023917732.1
gene-LOC112029276	XP_023917731.1
gene-LOC112029341	XP_023917799.1
gene-LOC112029341	XP_023917800.1
gene-LOC112029356	
gene-LOC112029334	XP_023917792.1
gene-LOC112029346	XP_023917803.1
gene-LOC112029346	XP_023917805.1
gene-TRNAF-GAA-10	
gene-LOC112029342	XP_023917801.1
gene-LOC112029358	
gene-LOC112029360	
gene-LOC112029359	
gene-LOC112029332	XP_023917791.1
gene-LOC112029349	XP_023917808.1
gene-LOC112029355	XP_023917810.1
gene-LOC112029357	
gene-LOC112029348	XP_023917807.1
gene-LOC112029361	
gene-LOC112029347	XP_023917806.1
gene-LOC112029335	XP_023917793.1
gene-LOC112029345	
gene-LOC112029336	
gene-LOC112029351	
gene-LOC112029363	XP_023917812.1
gene-LOC112029337	XP_023917795.1
gene-LOC112029362	
gene-LOC112029344	XP_023917802.1
gene-LOC112029353	
gene-LOC112029352	XP_023917809.1
gene-LOC112029338	XP_023917796.1
gene-LOC112029339	XP_023917797.1
gene-LOC112029340	XP_023917798.1
gene-LOC112029366	XP_023917813.1
gene-LOC112029367	XP_023917814.1
gene-LOC112029368	XP_023917816.1
gene-LOC112029369	XP_023917819.1
gene-LOC112029369	XP_023917820.1
gene-LOC112029369	XP_023917818.1
gene-LOC112029369	XP_023917817.1
gene-LOC112029371	
gene-LOC112029372	
gene-LOC112029375	XP_023917823.1
gene-LOC112029378	XP_023917826.1
gene-LOC112029373	XP_023917822.1
gene-LOC112029370	XP_023917821.1
gene-LOC112029376	XP_023917824.1
gene-LOC112029379	
gene-LOC112029377	XP_023917825.1
gene-LOC112029380	XP_023917827.1
gene-LOC112029381	XP_023917829.1
gene-LOC112029381	XP_023917828.1
gene-LOC112029382	
gene-LOC112029386	XP_023917834.1
gene-LOC112029387	XP_023917835.1
gene-LOC112029384	XP_023917831.1
gene-LOC112029385	XP_023917832.1
gene-LOC112029388	XP_023917837.1
gene-LOC112029388	XP_023917838.1
gene-LOC112029388	XP_023917836.1
gene-LOC112029400	XP_023917848.1
gene-LOC112029399	XP_023917847.1
gene-LOC112029399	XP_023917846.1
gene-LOC112029391	XP_023917840.1
gene-LOC112029389	XP_023917839.1
gene-LOC112029392	XP_023917841.1
gene-LOC112029393	XP_023917842.1
gene-LOC112029394	XP_023917843.1
gene-LOC112029396	
gene-LOC112029397	XP_023917844.1
gene-LOC112029398	
gene-LOC112029401	XP_023917849.1
gene-LOC112029403	XP_023917851.1
gene-LOC112029402	XP_023917850.1
gene-LOC112029443	XP_023917897.1
gene-LOC112029443	XP_023917896.1
gene-LOC112029443	XP_023917895.1
gene-LOC112029421	XP_023917870.1
gene-LOC112029404	XP_023917852.1
gene-LOC112029431	
gene-LOC112029411	XP_023917860.1
gene-LOC112029413	XP_023917861.1
gene-LOC112029437	XP_023917889.1
gene-LOC112029432	XP_023917883.1
gene-LOC112029407	XP_023917853.1
gene-LOC112029423	XP_023917872.1
gene-LOC112029406	
gene-LOC112029414	XP_023917863.1
gene-LOC112029415	XP_023917864.1
gene-LOC112029442	XP_023917893.1
gene-LOC112029424	XP_023917873.1
gene-LOC112029425	XP_023917874.1
gene-LOC112029426	XP_023917877.1
gene-LOC112029426	XP_023917875.1
gene-LOC112029426	XP_023917876.1
gene-LOC112029410	XP_023917858.1
gene-LOC112029410	XP_023917859.1
gene-LOC112029435	XP_023917886.1
gene-LOC112029436	XP_023917888.1
gene-LOC112029433	XP_023917884.1
gene-LOC112029408	XP_023917854.1
gene-LOC112029422	XP_023917871.1
gene-LOC112029434	XP_023917885.1
gene-LOC112029428	XP_023917878.1
gene-LOC112029416	XP_023917865.1
gene-TRNAT-AGU-11	
gene-LOC112029441	XP_023917892.1
gene-LOC112029440	XP_023917891.1
gene-LOC112029417	XP_023917866.1
gene-LOC112029438	XP_023917890.1
gene-LOC112029430	XP_023917882.1
gene-LOC112029430	XP_023917881.1
gene-LOC112029409	XP_023917856.1
gene-LOC112029409	XP_023917857.1
gene-TRNAD-GUC-9	
gene-LOC112029418	XP_023917867.1
gene-LOC112029429	XP_023917879.1
gene-LOC112029419	XP_023917868.1
gene-LOC112029420	
gene-LOC112029450	XP_023917901.1
gene-LOC112029451	XP_023917902.1
gene-LOC112029454	XP_023917907.1
gene-LOC112029446	
gene-LOC112029447	XP_023917898.1
gene-LOC112029447	XP_023917899.1
gene-LOC112029448	XP_023917900.1
gene-LOC112029453	XP_023917905.1
gene-LOC112029453	XP_023917906.1
gene-LOC112029452	XP_023917904.1
gene-LOC112029457	XP_023917910.1
gene-LOC112029460	XP_023917912.1
gene-LOC112029459	XP_023917911.1
gene-LOC112029456	XP_023917909.1
gene-LOC112029455	XP_023917908.1
gene-LOC112029461	XP_023917913.1
gene-LOC112029462	XP_023917915.1
gene-LOC112029463	XP_023917916.1
gene-LOC112029464	XP_023917917.1
gene-LOC112029465	XP_023917918.1
gene-LOC112029465	XP_023917919.1
gene-LOC112029466	XP_023917920.1
gene-LOC112029468	
gene-LOC112029471	XP_023917924.1
gene-LOC112029474	XP_023917927.1
gene-LOC112029475	XP_023917928.1
gene-LOC112029476	XP_023917929.1
gene-LOC112029477	XP_023917930.1
gene-LOC112029479	XP_023917931.1
gene-LOC112029480	XP_023917932.1
gene-LOC112029481	XP_023917933.1
gene-LOC112029493	
gene-LOC112029482	XP_023917935.1
gene-LOC112029483	XP_023917936.1
gene-LOC112029472	XP_023917925.1
gene-LOC112029469	
gene-LOC112029484	XP_023917937.1
gene-LOC112029485	XP_023917938.1
gene-LOC112029473	XP_023917926.1
gene-LOC112029486	XP_023917939.1
gene-LOC112029487	XP_023917940.1
gene-LOC112029488	XP_023917941.1
gene-LOC112029470	XP_023917921.1
gene-LOC112029490	XP_023917942.1
gene-LOC112029491	XP_023917943.1
gene-LOC112029492	XP_023917944.1
gene-LOC112029496	XP_023917949.1
gene-LOC112029498	XP_023917951.1
gene-LOC112029494	XP_023917946.1
gene-LOC112029494	XP_023917947.1
gene-LOC112029506	XP_023917958.1
gene-LOC112029506	XP_023917959.1
gene-LOC112029507	XP_023917960.1
gene-LOC112029499	XP_023917952.1
gene-LOC112029501	XP_023917953.1
gene-LOC112029508	XP_023917962.1
gene-LOC112029508	XP_023917961.1
gene-LOC112029511	XP_023917968.1
gene-LOC112029502	XP_023917954.1
gene-LOC112029505	XP_023917957.1
gene-LOC112029503	XP_023917955.1
gene-LOC112029495	XP_023917948.1
gene-LOC112029509	XP_023917963.1
gene-LOC112029509	XP_023917964.1
gene-LOC112029497	XP_023917950.1
gene-LOC112029512	XP_023917969.1
gene-LOC112029513	
gene-LOC112029510	XP_023917965.1
gene-LOC112029510	XP_023917966.1
gene-LOC112029510	XP_023917967.1
gene-LOC112029504	XP_023917956.1
gene-LOC112029516	XP_023917972.1
gene-LOC112029517	XP_023917973.1
gene-LOC112029518	XP_023917974.1
gene-TRNAT-UGU-6	
gene-LOC112029519	XP_023917975.1
gene-LOC112029520	XP_023917976.1
gene-LOC112029521	XP_023917977.1
gene-LOC112029522	XP_023917978.1
gene-LOC112029523	
gene-LOC112029524	XP_023917979.1
gene-LOC112029525	XP_023917980.1
gene-LOC112029526	XP_023917981.1
gene-LOC112029528	XP_023917982.1
gene-LOC112029529	XP_023917983.1
gene-LOC112029515	XP_023917971.1
gene-LOC112029514	XP_023917970.1
gene-LOC112029530	XP_023917984.1
gene-LOC112029531	XP_023917985.1
gene-LOC112029532	XP_023917986.1
gene-LOC112029533	XP_023917987.1
gene-LOC112029534	XP_023917988.1
gene-LOC112029535	XP_023917989.1
gene-LOC112029537	XP_023917991.1
gene-LOC112029536	XP_023917990.1
gene-LOC112029540	XP_023917992.1
gene-LOC112029542	XP_023917994.1
gene-LOC112029544	
gene-LOC112029545	XP_023917995.1
gene-LOC112029541	XP_023917993.1
gene-LOC112029547	XP_023917998.1
gene-LOC112029548	XP_023917999.1
gene-LOC112029548	XP_023918000.1
gene-LOC112029546	XP_023917996.1
gene-LOC112029550	
gene-LOC112029559	
gene-LOC112029549	XP_023918001.1
gene-LOC112029555	XP_023918005.1
gene-LOC112029556	XP_023918006.1
gene-LOC112029557	XP_023918008.1
gene-LOC112029558	XP_023918009.1
gene-LOC112029551	XP_023918002.1
gene-LOC112029552	
gene-LOC112029553	XP_023918004.1
gene-LOC112029553	XP_023918003.1
gene-LOC112029564	XP_023918017.1
gene-LOC112029564	XP_023918018.1
gene-LOC112029568	XP_023918022.1
gene-LOC112029569	XP_023918023.1
gene-LOC112029560	XP_023918010.1
gene-LOC112029561	XP_023918011.1
gene-LOC112029563	XP_023918016.1
gene-LOC112029566	XP_023918020.1
gene-LOC112029566	XP_023918021.1
gene-LOC112029565	XP_023918019.1
gene-LOC112029562	XP_023918013.1
gene-LOC112029562	XP_023918014.1
gene-LOC112029562	XP_023918015.1
gene-LOC112029577	XP_023918034.1
gene-LOC112029571	
gene-LOC112029573	XP_023918030.1
gene-LOC112029572	XP_023918028.1
gene-LOC112029572	XP_023918029.1
gene-LOC112029574	XP_023918031.1
gene-LOC112029570	XP_023918026.1
gene-LOC112029570	XP_023918027.1
gene-LOC112029576	XP_023918032.1
gene-LOC112029578	XP_023918035.1
gene-LOC112029579	
gene-LOC112029580	XP_023918036.1
gene-LOC112029585	XP_023918040.1
gene-LOC112029587	
gene-LOC112029586	
gene-LOC112029584	XP_023918038.1
gene-LOC112029582	
gene-LOC112029583	XP_023918037.1
gene-LOC112029590	
gene-LOC112029588	
gene-LOC112029592	
gene-LOC112029589	
gene-LOC112029593	XP_023918041.1
gene-LOC112029594	
gene-LOC112029601	XP_023918051.1
gene-LOC112029598	XP_023918047.1
gene-LOC112029599	XP_023918048.1
gene-LOC112029602	XP_023918052.1
gene-LOC112029603	XP_023918053.1
gene-LOC112029609	XP_023918059.1
gene-LOC112029605	XP_023918054.1
gene-LOC112029606	XP_023918055.1
gene-LOC112029596	XP_023918044.1
gene-LOC112029596	XP_023918046.1
gene-LOC112029596	XP_023918045.1
gene-LOC112029607	XP_023918057.1
gene-LOC112029595	XP_023918042.1
gene-LOC112029595	XP_023918043.1
gene-LOC112029608	XP_023918058.1
gene-LOC112029600	XP_023918050.1
gene-LOC112029600	XP_023918049.1
gene-LOC112029610	XP_023918060.1
gene-LOC112029610	XP_023918062.1
gene-LOC112029610	XP_023918063.1
gene-LOC112029610	XP_023918061.1
gene-LOC112029612	
gene-LOC112029635	XP_023918086.1
gene-LOC112029635	XP_023918085.1
gene-LOC112029615	XP_023918067.1
gene-LOC112029616	XP_023918069.1
gene-LOC112029617	XP_023918070.1
gene-LOC112029634	XP_023918084.1
gene-LOC112029618	XP_023918071.1
gene-LOC112029619	XP_023918072.1
gene-LOC112029620	XP_023918073.1
gene-LOC112029613	XP_023918064.1
gene-LOC112029614	XP_023918066.1
gene-LOC112029633	XP_023918083.1
gene-LOC112029632	XP_023918081.1
gene-LOC112029621	XP_023918074.1
gene-LOC112029622	XP_023918075.1
gene-LOC112029636	XP_023918088.1
gene-LOC112029636	XP_023918087.1
gene-LOC112029624	XP_023918077.1
gene-LOC112029625	XP_023918078.1
gene-LOC112029637	XP_023918089.1
gene-LOC112029637	XP_023918090.1
gene-LOC112029626	XP_023918079.1
gene-LOC112029627	XP_023918080.1
gene-LOC112029628	
gene-LOC112029630	
gene-LOC112029631	
gene-LOC112029640	XP_023918095.1
gene-LOC112029643	XP_023918100.1
gene-LOC112029646	XP_023918103.1
gene-LOC112029646	XP_023918104.1
gene-LOC112029661	
gene-LOC112029659	
gene-LOC112029660	
gene-LOC112029644	XP_023918101.1
gene-LOC112029652	XP_023918113.1
gene-LOC112029647	XP_023918105.1
gene-LOC112029657	XP_023918117.1
gene-LOC112029653	XP_023918114.1
gene-LOC112029645	XP_023918102.1
gene-LOC112029655	XP_023918115.1
gene-LOC112029655	XP_023918116.1
gene-LOC112029658	XP_023918119.1
gene-LOC112029639	XP_023918094.1
gene-LOC112029649	XP_023918108.1
gene-LOC112029650	XP_023918109.1
gene-LOC112029638	XP_023918093.1
gene-LOC112029638	XP_023918092.1
gene-LOC112029656	
gene-LOC112029648	XP_023918107.1
gene-LOC112029641	XP_023918096.1
gene-LOC112029641	XP_023918097.1
gene-LOC112029642	XP_023918098.1
gene-LOC112029651	XP_023918112.1
gene-LOC112029651	XP_023918111.1
gene-LOC112029662	
gene-LOC112029667	
gene-LOC112029668	XP_023918125.1
gene-LOC112029669	
gene-LOC112029663	
gene-LOC112029664	XP_023918120.1
gene-LOC112029664	XP_023918121.1
gene-LOC112029676	XP_023918127.1
gene-LOC112029670	XP_023918126.1
gene-LOC112029674	
gene-LOC112029671	
gene-LOC112029677	
gene-LOC112029673	
gene-LOC112029675	
gene-LOC112029666	XP_023918122.1
gene-LOC112029666	XP_023918123.1
gene-LOC112029678	XP_023918130.1
gene-LOC112029678	XP_023918129.1
gene-LOC112029680	XP_023918132.1
gene-LOC112029681	XP_023918133.1
gene-LOC112029682	XP_023918134.1
gene-LOC112029684	
gene-LOC112029679	XP_023918131.1
gene-LOC112029685	XP_023918135.1
gene-LOC112029687	XP_023918139.1
